;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running nr;Customer id;;;Products;;;;;;;;;;;;;; Price per unit ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A;B;C;D;E;F;G;H;I;K;L;;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;;
1573;139;;;26;41;0;19;0;0;64;13;0;71;17;251;;; € 16,00 ; € 9,00 ; € -   ; € 8,00 ; € -   ; € -   ; € 35,00 ; € 20,00 ; € -   ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
1574;117;;;20;0;22;9;0;8;43;23;0;107;9;241;;; € 17,00 ; € -   ; € 36,00 ; € 12,00 ; € -   ; € 186,00 ; € 26,00 ; € 19,00 ; € -   ; € 18,00 ; € 20,00 ;;;;;;;;;;;;;;
1575;86;;;10;32;60;19;0;21;0;15;25;54;29;265;;; € 15,00 ; € 7,00 ; € 39,00 ; € 18,00 ; € -   ; € 126,00 ; € -   ; € 16,00 ; € 15,00 ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
1576;126;;;40;0;43;0;34;0;0;0;28;53;0;198;;; € 15,00 ; € -   ; € 43,00 ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
1577;79;;;28;11;47;13;0;15;58;0;17;0;21;210;;; € 20,00 ; € 9,00 ; € 16,00 ; € 20,00 ; € -   ; € 122,00 ; € 20,00 ; € -   ; € 18,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
1578;54;;;26;28;34;3;13;15;0;0;0;109;0;228;;; € 15,00 ; € 9,00 ; € 34,00 ; € 15,00 ; € 17,00 ; € 190,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1579;44;;;6;3;39;12;0;83;0;23;0;5;0;171;;; € 18,00 ; € 7,00 ; € 41,00 ; € 19,00 ; € -   ; € 113,00 ; € -   ; € 18,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
1580;52;;;4;0;4;0;1;84;0;0;26;54;0;173;;; € 20,00 ; € -   ; € 32,00 ; € -   ; € 20,00 ; € 111,00 ; € -   ; € -   ; € 19,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
1581;102;;;8;0;0;2;0;0;0;0;26;0;0;36;;; € 17,00 ; € -   ; € -   ; € 10,00 ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1582;85;;;5;0;0;0;0;17;0;48;0;0;0;70;;; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € 184,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1583;114;;;20;0;78;0;34;65;0;3;2;0;12;214;;; € 17,00 ; € -   ; € 28,00 ; € -   ; € 15,00 ; € 167,00 ; € -   ; € 16,00 ; € 18,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1584;57;;;22;0;66;6;0;0;21;0;30;0;12;157;;; € 20,00 ; € -   ; € 40,00 ; € 5,00 ; € -   ; € -   ; € 8,00 ; € -   ; € 15,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
1585;120;;;19;0;0;0;0;20;87;43;30;0;0;199;;; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € 157,00 ; € 7,00 ; € 20,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1586;132;;;9;0;93;7;0;0;13;34;0;0;44;200;;; € 18,00 ; € -   ; € 35,00 ; € 5,00 ; € -   ; € -   ; € 5,00 ; € 19,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
1587;93;;;11;0;88;0;46;0;0;0;0;0;0;145;;; € 20,00 ; € -   ; € 39,00 ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1588;142;;;20;45;0;0;0;14;0;46;0;20;0;145;;; € 16,00 ; € 9,00 ; € -   ; € -   ; € -   ; € 103,00 ; € -   ; € 19,00 ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
1589;89;;;26;0;37;13;8;0;27;25;0;0;0;136;;; € 16,00 ; € -   ; € 27,00 ; € 9,00 ; € 18,00 ; € -   ; € 37,00 ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1590;2;;;17;0;100;0;0;21;0;0;30;51;0;219;;; € 15,00 ; € -   ; € 50,00 ; € -   ; € -   ; € 167,00 ; € -   ; € -   ; € 19,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
1591;129;;;24;0;0;18;0;66;0;48;0;93;11;260;;; € 19,00 ; € -   ; € -   ; € 10,00 ; € -   ; € 185,00 ; € -   ; € 15,00 ; € -   ; € 15,00 ; € 17,00 ;;;;;;;;;;;;;;
1592;124;;;24;20;0;5;0;0;0;0;29;73;0;151;;; € 19,00 ; € 9,00 ; € -   ; € 14,00 ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1593;21;;;20;0;0;0;0;0;64;37;0;0;1;122;;; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 21,00 ; € 15,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
1594;124;;;10;0;29;0;0;0;15;0;0;48;0;102;;; € 19,00 ; € -   ; € 31,00 ; € -   ; € -   ; € -   ; € 13,00 ; € -   ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
1595;129;;;16;0;16;0;0;0;81;0;14;0;0;127;;; € 16,00 ; € -   ; € 21,00 ; € -   ; € -   ; € -   ; € 26,00 ; € -   ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1596;97;;;20;12;32;15;0;0;0;0;12;87;0;178;;; € 20,00 ; € 9,00 ; € 17,00 ; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1597;43;;;26;0;0;0;40;0;0;60;0;0;0;126;;; € 18,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1598;58;;;0;48;0;0;43;27;0;44;14;89;0;265;;; € -   ; € 8,00 ; € -   ; € -   ; € 17,00 ; € 179,00 ; € -   ; € 19,00 ; € 19,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
1599;149;;;34;0;71;0;0;11;0;38;0;8;47;209;;; € 16,00 ; € -   ; € 28,00 ; € -   ; € -   ; € 179,00 ; € -   ; € 18,00 ; € -   ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
1600;140;;;22;0;43;0;5;0;0;0;9;40;0;119;;; € 17,00 ; € -   ; € 36,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
1601;64;;;0;44;25;6;0;0;0;48;0;0;26;149;;; € -   ; € 6,00 ; € 26,00 ; € 16,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
1602;94;;;10;35;0;0;32;21;0;0;24;0;0;122;;; € 16,00 ; € 6,00 ; € -   ; € -   ; € 19,00 ; € 151,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1603;37;;;26;0;0;9;0;8;84;59;0;20;0;206;;; € 16,00 ; € -   ; € -   ; € 8,00 ; € -   ; € 177,00 ; € 17,00 ; € 18,00 ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1604;121;;;18;2;50;0;20;73;0;13;0;76;0;252;;; € 20,00 ; € 10,00 ; € 29,00 ; € -   ; € 16,00 ; € 128,00 ; € -   ; € 15,00 ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1605;144;;;6;24;0;7;0;5;0;44;0;0;0;86;;; € 19,00 ; € 10,00 ; € -   ; € 11,00 ; € -   ; € 143,00 ; € -   ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1606;2;;;7;7;35;12;42;0;51;58;24;76;0;312;;; € 20,00 ; € 6,00 ; € 41,00 ; € 8,00 ; € 20,00 ; € -   ; € 12,00 ; € 17,00 ; € 17,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
1607;73;;;22;0;0;14;0;15;0;11;0;0;40;102;;; € 18,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 176,00 ; € -   ; € 19,00 ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
1608;121;;;16;0;86;0;0;70;0;40;0;56;26;294;;; € 19,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 155,00 ; € -   ; € 17,00 ; € -   ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
1609;92;;;16;39;59;0;32;65;0;0;7;40;0;258;;; € 16,00 ; € 8,00 ; € 36,00 ; € -   ; € 16,00 ; € 131,00 ; € -   ; € -   ; € 16,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
1610;41;;;18;0;0;11;35;32;0;13;0;52;0;161;;; € 17,00 ; € -   ; € -   ; € 18,00 ; € 18,00 ; € 136,00 ; € -   ; € 19,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
1611;104;;;34;0;94;0;0;0;44;0;8;32;0;212;;; € 16,00 ; € -   ; € 48,00 ; € -   ; € -   ; € -   ; € 38,00 ; € -   ; € 17,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1612;131;;;14;0;39;19;0;96;0;15;0;102;26;311;;; € 18,00 ; € -   ; € 43,00 ; € 20,00 ; € -   ; € 184,00 ; € -   ; € 20,00 ; € -   ; € 19,00 ; € 16,00 ;;;;;;;;;;;;;;
1613;1;;;20;15;46;4;13;0;0;46;9;86;0;239;;; € 16,00 ; € 10,00 ; € 36,00 ; € 8,00 ; € 17,00 ; € -   ; € -   ; € 16,00 ; € 16,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
1614;103;;;8;0;0;0;41;68;0;0;16;50;43;226;;; € 17,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 153,00 ; € -   ; € -   ; € 19,00 ; € 17,00 ; € 17,00 ;;;;;;;;;;;;;;
1615;15;;;18;20;64;13;0;0;47;0;0;13;47;222;;; € 17,00 ; € 8,00 ; € 39,00 ; € 11,00 ; € -   ; € -   ; € 6,00 ; € -   ; € -   ; € 19,00 ; € 19,00 ;;;;;;;;;;;;;;
1616;140;;;7;0;0;0;0;75;0;15;0;0;50;147;;; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 190,00 ; € -   ; € 18,00 ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1617;49;;;15;9;85;13;0;0;0;0;0;0;30;152;;; € 18,00 ; € 8,00 ; € 46,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
1618;107;;;32;0;11;0;5;42;0;0;0;84;31;205;;; € 16,00 ; € -   ; € 38,00 ; € -   ; € 18,00 ; € 181,00 ; € -   ; € -   ; € -   ; € 18,00 ; € 18,00 ;;;;;;;;;;;;;;
1619;22;;;26;34;42;6;50;9;0;0;0;0;0;167;;; € 18,00 ; € 9,00 ; € 38,00 ; € 8,00 ; € 16,00 ; € 132,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1620;45;;;12;49;93;13;0;0;37;37;0;5;16;262;;; € 16,00 ; € 5,00 ; € 36,00 ; € 16,00 ; € -   ; € -   ; € 10,00 ; € 20,00 ; € -   ; € 20,00 ; € 17,00 ;;;;;;;;;;;;;;
1621;140;;;18;0;37;0;0;0;97;0;23;109;0;284;;; € 15,00 ; € -   ; € 27,00 ; € -   ; € -   ; € -   ; € 27,00 ; € -   ; € 15,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1622;36;;;5;0;62;14;0;0;7;15;0;86;22;211;;; € 17,00 ; € -   ; € 42,00 ; € 13,00 ; € -   ; € -   ; € 29,00 ; € 16,00 ; € -   ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
1623;99;;;2;34;82;0;0;0;72;0;0;0;13;203;;; € 19,00 ; € 8,00 ; € 29,00 ; € -   ; € -   ; € -   ; € 10,00 ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
1624;147;;;0;0;0;8;10;62;22;0;27;0;0;129;;; € -   ; € -   ; € -   ; € 17,00 ; € 15,00 ; € 105,00 ; € 9,00 ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1625;76;;;40;0;0;0;35;0;37;14;17;6;0;149;;; € 20,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € 12,00 ; € 19,00 ; € 18,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
1626;9;;;12;0;81;10;19;0;40;0;0;58;34;254;;; € 15,00 ; € -   ; € 23,00 ; € 11,00 ; € 20,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
1627;38;;;34;0;0;14;0;0;96;10;0;0;0;154;;; € 19,00 ; € -   ; € -   ; € 6,00 ; € -   ; € -   ; € 12,00 ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1628;146;;;0;0;85;0;0;0;45;0;0;21;41;192;;; € -   ; € -   ; € 24,00 ; € -   ; € -   ; € -   ; € 14,00 ; € -   ; € -   ; € 15,00 ; € 15,00 ;;;;;;;;;;;;;;
1629;89;;;0;33;91;0;0;0;0;0;0;0;7;131;;; € -   ; € 5,00 ; € 43,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1630;142;;;4;2;63;4;41;0;0;0;12;45;43;214;;; € 20,00 ; € 8,00 ; € 31,00 ; € 13,00 ; € 20,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 17,00 ; € 20,00 ;;;;;;;;;;;;;;
1631;34;;;14;0;100;0;39;0;0;29;0;88;20;290;;; € 16,00 ; € -   ; € 19,00 ; € -   ; € 19,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 19,00 ; € 19,00 ;;;;;;;;;;;;;;
1632;113;;;17;0;78;18;0;0;27;52;0;0;0;192;;; € 15,00 ; € -   ; € 27,00 ; € 19,00 ; € -   ; € -   ; € 9,00 ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1633;8;;;28;16;96;0;0;0;0;0;4;92;0;236;;; € 20,00 ; € 7,00 ; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
1634;84;;;0;0;0;0;0;0;0;0;0;0;0;0;;; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1635;128;;;9;50;0;0;3;0;0;31;26;0;16;135;;; € 17,00 ; € 7,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € 18,00 ; € 15,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
1636;35;;;38;19;77;0;11;0;0;0;26;0;0;171;;; € 20,00 ; € 9,00 ; € 20,00 ; € -   ; € 18,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1637;102;;;9;0;0;0;0;0;36;48;1;54;4;152;;; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 21,00 ; € 15,00 ; € 20,00 ; € 16,00 ; € 20,00 ;;;;;;;;;;;;;;
1638;71;;;30;24;54;18;26;0;0;0;18;0;17;187;;; € 18,00 ; € 5,00 ; € 46,00 ; € 12,00 ; € 19,00 ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
1639;57;;;16;39;100;4;0;0;94;9;0;96;0;358;;; € 17,00 ; € 9,00 ; € 48,00 ; € 15,00 ; € -   ; € -   ; € 33,00 ; € 20,00 ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1640;46;;;16;0;0;9;3;0;0;0;26;39;0;93;;; € 16,00 ; € -   ; € -   ; € 10,00 ; € 15,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1641;143;;;12;0;0;2;0;0;56;0;0;30;1;101;;; € 18,00 ; € -   ; € -   ; € 8,00 ; € -   ; € -   ; € 28,00 ; € -   ; € -   ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
1642;25;;;18;9;0;10;0;0;58;0;0;60;15;170;;; € 17,00 ; € 6,00 ; € -   ; € 8,00 ; € -   ; € -   ; € 32,00 ; € -   ; € -   ; € 17,00 ; € 16,00 ;;;;;;;;;;;;;;
1643;101;;;20;50;75;0;0;0;88;0;0;0;49;282;;; € 19,00 ; € 6,00 ; € 43,00 ; € -   ; € -   ; € -   ; € 34,00 ; € -   ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
1644;64;;;12;30;55;11;47;34;67;0;0;0;20;276;;; € 15,00 ; € 7,00 ; € 43,00 ; € 12,00 ; € 20,00 ; € 137,00 ; € 17,00 ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
1645;131;;;22;0;16;0;0;0;0;0;0;0;0;38;;; € 19,00 ; € -   ; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1646;68;;;10;0;92;4;0;40;0;31;0;100;0;277;;; € 18,00 ; € -   ; € 33,00 ; € 14,00 ; € -   ; € 150,00 ; € -   ; € 20,00 ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1647;91;;;20;0;6;8;30;0;0;54;0;0;21;139;;; € 18,00 ; € -   ; € 49,00 ; € 14,00 ; € 17,00 ; € -   ; € -   ; € 16,00 ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
1648;28;;;0;0;14;0;47;0;0;17;0;38;47;163;;; € -   ; € -   ; € 50,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 17,00 ; € 16,00 ;;;;;;;;;;;;;;
1649;63;;;14;0;99;3;1;33;2;48;28;66;34;328;;; € 15,00 ; € -   ; € 27,00 ; € 11,00 ; € 15,00 ; € 120,00 ; € 22,00 ; € 17,00 ; € 17,00 ; € 16,00 ; € 20,00 ;;;;;;;;;;;;;;
1650;35;;;7;1;28;0;0;0;76;29;25;0;0;166;;; € 16,00 ; € 10,00 ; € 44,00 ; € -   ; € -   ; € -   ; € 21,00 ; € 19,00 ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1651;47;;;28;12;48;0;0;18;44;8;3;83;0;244;;; € 15,00 ; € 7,00 ; € 15,00 ; € -   ; € -   ; € 161,00 ; € 33,00 ; € 20,00 ; € 17,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
1652;112;;;36;0;0;0;3;0;0;42;27;23;0;131;;; € 19,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € 17,00 ; € 20,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1653;38;;;10;0;0;0;47;71;0;14;0;84;0;226;;; € 15,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 170,00 ; € -   ; € 18,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
1654;78;;;8;16;0;9;26;82;0;27;10;0;0;178;;; € 16,00 ; € 9,00 ; € -   ; € 11,00 ; € 17,00 ; € 169,00 ; € -   ; € 19,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1655;130;;;4;0;41;0;47;0;50;45;0;81;14;282;;; € 18,00 ; € -   ; € 38,00 ; € -   ; € 20,00 ; € -   ; € 7,00 ; € 18,00 ; € -   ; € 16,00 ; € 18,00 ;;;;;;;;;;;;;;
1656;96;;;13;20;0;14;0;0;46;59;0;102;0;254;;; € 15,00 ; € 9,00 ; € -   ; € 8,00 ; € -   ; € -   ; € 39,00 ; € 16,00 ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1657;89;;;26;27;0;0;0;0;38;52;21;0;0;164;;; € 16,00 ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € 39,00 ; € 19,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1658;97;;;14;14;86;0;0;0;0;0;19;85;47;265;;; € 17,00 ; € 9,00 ; € 49,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
1659;15;;;28;0;0;17;0;0;0;0;9;0;21;75;;; € 19,00 ; € -   ; € -   ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1660;23;;;18;16;87;6;0;55;44;33;0;67;0;326;;; € 19,00 ; € 6,00 ; € 43,00 ; € 9,00 ; € -   ; € 184,00 ; € 13,00 ; € 20,00 ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1661;29;;;0;0;70;3;0;24;0;0;14;24;0;135;;; € -   ; € -   ; € 16,00 ; € 17,00 ; € -   ; € 146,00 ; € -   ; € -   ; € 17,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
1662;43;;;9;7;74;9;0;0;77;0;7;66;0;249;;; € 19,00 ; € 7,00 ; € 37,00 ; € 14,00 ; € -   ; € -   ; € 32,00 ; € -   ; € 15,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1663;130;;;1;0;0;18;0;0;0;45;11;0;0;75;;; € 20,00 ; € -   ; € -   ; € 9,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1664;39;;;22;0;74;9;8;0;0;1;3;17;0;134;;; € 17,00 ; € -   ; € 24,00 ; € 5,00 ; € 16,00 ; € -   ; € -   ; € 19,00 ; € 18,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1665;14;;;6;0;94;0;48;0;2;31;0;65;8;254;;; € 20,00 ; € -   ; € 42,00 ; € -   ; € 18,00 ; € -   ; € 39,00 ; € 15,00 ; € -   ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
1666;126;;;14;31;55;20;0;91;0;19;7;0;7;244;;; € 18,00 ; € 5,00 ; € 42,00 ; € 7,00 ; € -   ; € 188,00 ; € -   ; € 17,00 ; € 16,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1667;109;;;17;0;0;0;12;0;0;0;0;0;0;29;;; € 18,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1668;110;;;34;0;0;0;39;0;35;24;0;7;13;152;;; € 19,00 ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 22,00 ; € 17,00 ; € -   ; € 17,00 ; € 19,00 ;;;;;;;;;;;;;;
1669;144;;;20;0;74;19;0;0;46;0;0;95;47;301;;; € 16,00 ; € -   ; € 36,00 ; € 14,00 ; € -   ; € -   ; € 33,00 ; € -   ; € -   ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
1670;2;;;18;4;34;0;45;4;0;0;20;62;0;187;;; € 16,00 ; € 10,00 ; € 31,00 ; € -   ; € 18,00 ; € 152,00 ; € -   ; € -   ; € 17,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1671;29;;;38;0;0;18;7;80;0;24;0;0;45;212;;; € 16,00 ; € -   ; € -   ; € 15,00 ; € 19,00 ; € 176,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1672;79;;;12;2;84;20;48;45;56;34;7;32;49;389;;; € 17,00 ; € 7,00 ; € 16,00 ; € 16,00 ; € 17,00 ; € 104,00 ; € 34,00 ; € 20,00 ; € 20,00 ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
1673;145;;;13;16;25;0;7;96;0;6;0;0;0;163;;; € 16,00 ; € 10,00 ; € 28,00 ; € -   ; € 20,00 ; € 108,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1674;150;;;12;18;0;0;32;18;32;0;0;0;7;119;;; € 19,00 ; € 6,00 ; € -   ; € -   ; € 17,00 ; € 131,00 ; € 31,00 ; € -   ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
1675;96;;;13;25;0;0;0;0;0;52;12;44;0;146;;; € 19,00 ; € 9,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 16,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1676;64;;;14;17;0;0;9;31;0;0;1;0;0;72;;; € 16,00 ; € 10,00 ; € -   ; € -   ; € 17,00 ; € 105,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1677;139;;;6;33;63;19;0;89;13;13;8;0;29;273;;; € 18,00 ; € 7,00 ; € 42,00 ; € 10,00 ; € -   ; € 144,00 ; € 39,00 ; € 16,00 ; € 16,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
1678;84;;;18;22;0;16;49;0;0;19;4;0;43;171;;; € 17,00 ; € 8,00 ; € -   ; € 18,00 ; € 20,00 ; € -   ; € -   ; € 16,00 ; € 15,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1679;43;;;10;0;0;19;0;0;12;57;0;0;0;98;;; € 18,00 ; € -   ; € -   ; € 14,00 ; € -   ; € -   ; € 19,00 ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1680;7;;;4;15;0;0;0;0;0;59;20;0;0;98;;; € 16,00 ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1681;53;;;24;0;0;12;27;47;75;0;0;55;17;257;;; € 20,00 ; € -   ; € -   ; € 20,00 ; € 15,00 ; € 110,00 ; € 26,00 ; € -   ; € -   ; € 19,00 ; € 17,00 ;;;;;;;;;;;;;;
1682;134;;;0;40;13;0;17;0;3;28;30;52;19;202;;; € -   ; € 10,00 ; € 39,00 ; € -   ; € 20,00 ; € -   ; € 22,00 ; € 19,00 ; € 15,00 ; € 18,00 ; € 19,00 ;;;;;;;;;;;;;;
1683;96;;;13;13;82;0;2;0;0;45;0;45;36;236;;; € 18,00 ; € 7,00 ; € 32,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 16,00 ; € 18,00 ;;;;;;;;;;;;;;
1684;150;;;20;0;3;0;17;69;0;0;0;0;18;127;;; € 16,00 ; € -   ; € 40,00 ; € -   ; € 16,00 ; € 192,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
1685;1;;;0;11;0;0;0;49;47;0;21;31;0;159;;; € -   ; € 8,00 ; € -   ; € -   ; € -   ; € 177,00 ; € 19,00 ; € -   ; € 17,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
1686;128;;;12;20;6;0;19;0;0;0;0;0;44;101;;; € 20,00 ; € 9,00 ; € 50,00 ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1687;56;;;8;38;0;0;0;0;0;1;0;63;0;110;;; € 15,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
